Contest Id,Tabulator Id,Batch Id,Record Id,Precinct,Precinct Portion,rank1,rank2,rank3,rank4,rank5
,2,1,1,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Tom Steyer,Elizabeth Warren
,2,1,2,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,3,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,4,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,5,,1,Joseph R. Biden,Elizabeth Warren,skipped,skipped,skipped
,2,1,6,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren,Tom Steyer
,2,1,8,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Joseph R. Biden,skipped
,2,1,9,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,10,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,skipped,skipped
,2,1,11,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg
,2,1,12,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,13,,1,Joseph R. Biden,Amy Klobuchar,Elizabeth Warren,Michael R. Bloomberg,Pete Buttigieg
,2,1,14,,1,Bernie Sanders,Joseph R. Biden,skipped,skipped,skipped
,2,1,15,,1,Joseph R. Biden,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,skipped
,2,1,16,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,17,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren,Tom Steyer
,2,1,18,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,19,,1,Joseph R. Biden,Amy Klobuchar,Tulsi Gabbard,Bernie Sanders,skipped
,2,1,20,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,21,,1,Bernie Sanders,Undeclared,Undeclared,Undeclared,Joseph R. Biden
,2,1,22,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Pete Buttigieg
,2,1,23,,1,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,Bernie Sanders,skipped
,2,1,24,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,25,,1,Joseph R. Biden,skipped,skipped,skipped,skipped
,2,1,26,,1,Bernie Sanders,Joseph R. Biden,Pete Buttigieg,Michael R. Bloomberg,Elizabeth Warren
,2,1,27,,1,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,Tulsi Gabbard,Joseph R. Biden
,2,1,28,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,skipped,skipped
,2,1,29,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,1,30,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,1,31,,1,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,skipped,skipped
,2,1,32,,1,Bernie Sanders,Elizabeth Warren,Pete Buttigieg,Amy Klobuchar,Tulsi Gabbard
,2,1,33,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,34,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,35,,1,Bernie Sanders,Joseph R. Biden,Elizabeth Warren,Amy Klobuchar,skipped
,2,1,36,,1,Joseph R. Biden,Amy Klobuchar,Pete Buttigieg,Elizabeth Warren,Bernie Sanders
,2,1,37,,1,Joseph R. Biden,Bernie Sanders,Elizabeth Warren,Amy Klobuchar,skipped
,2,1,38,,1,Bernie Sanders,Elizabeth Warren,skipped,skipped,skipped
,2,1,39,,1,Joseph R. Biden,Bernie Sanders,skipped,skipped,skipped
,2,1,40,,1,Elizabeth Warren,Bernie Sanders,Amy Klobuchar,Pete Buttigieg,skipped
,2,1,41,,1,Elizabeth Warren,Joseph R. Biden,Bernie Sanders,Amy Klobuchar,Pete Buttigieg
,2,1,42,,1,Bernie Sanders,skipped,skipped,skipped,skipped
,2,1,43,,1,Bernie Sanders,skipped,skipped,skipped,skipped
