"rank1","rank2","rank3","rank4","rank5"
"Bob Kiss","Andy Montroll","skipped","skipped","skipped"
"Andy Montroll","skipped","skipped","skipped","skipped"
"Andy Montroll","Bob Kiss","Kurt Wright","skipped","skipped"
"Andy Montroll","Kurt Wright","skipped","skipped","skipped"
"Kurt Wright","skipped","skipped","skipped","skipped"
"Bob Kiss","Andy Montroll","skipped","skipped","skipped"
"Kurt Wright","skipped","skipped","skipped","skipped"
"Bob Kiss","Dan Smith","Andy Montroll","Kurt Wright","James Simpson"
"Bob Kiss","James Simpson","Andy Montroll","skipped","skipped"
"Kurt Wright","skipped","skipped","skipped","skipped"
"Dan Smith","Bob Kiss","skipped","skipped","skipped"
"Kurt Wright","skipped","skipped","skipped","skipped"
"Bob Kiss","Dan Smith","skipped","skipped","skipped"
"Write-in","Andy Montroll","Bob Kiss","Dan Smith","James Simpson"
"Bob Kiss","Andy Montroll","Dan Smith","Kurt Wright","James Simpson"
"Bob Kiss","Andy Montroll","skipped","skipped","skipped"
"Bob Kiss","Andy Montroll","Kurt Wright","Dan Smith","James Simpson"
"Andy Montroll","Bob Kiss","Kurt Wright","skipped","skipped"
"Dan Smith","Andy Montroll","Kurt Wright","Bob Kiss","skipped"
"Bob Kiss","Andy Montroll","skipped","skipped","skipped"
"Bob Kiss","Andy Montroll","skipped","skipped","skipped"
"Bob Kiss","Andy Montroll","Dan Smith","skipped","skipped"
"Bob Kiss","Andy Montroll","Dan Smith","Kurt Wright","James Simpson"
"Bob Kiss","Kurt Wright","Dan Smith","Andy Montroll","skipped"
"Dan Smith","Bob Kiss","Kurt Wright","Andy Montroll","James Simpson"
"Andy Montroll","Bob Kiss","skipped","skipped","skipped"
"Andy Montroll","Bob Kiss","skipped","skipped","skipped"
"Andy Montroll","Dan Smith","Bob Kiss","Kurt Wright","skipped"
"Dan Smith","Bob Kiss","Andy Montroll","skipped","skipped"
"Andy Montroll","Bob Kiss","skipped","skipped","skipped"
