"ballotID","ballot_type","countingGroup","district","districtType","precinct","precinctPortion","votingLocation","rank1","rank2","rank3","rank4","rank5"
"00006_00000_750771_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_347572_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_493821_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","WILLIAM EMMONS","skipped","skipped","skipped"
"00006_00000_995969_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","WILLIAM EMMONS","skipped","skipped","skipped"
"00006_00000_228362_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","WILLIAM EMMONS","WILLIAM EMMONS","JOAN SHANNON","skipped"
"00006_00000_486553_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped"
"00006_00000_454052_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_445815_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","WILLIAM EMMONS","CHRISTOPHER HAESSLY","skipped"
"00006_00000_414372_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_737893_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_456530_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","CHRISTOPHER HAESSLY","JOAN SHANNON","WILLIAM EMMONS","skipped"
"00006_00000_936221_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","EMMA MULVANEY-STANAK","skipped","skipped","skipped"
"00006_00000_704695_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_938841_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","JOAN SHANNON","skipped","skipped","skipped","skipped"
"00006_00000_782113_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","JOAN SHANNON","skipped","skipped","skipped"
"00006_00000_193127_","Ballot 8 - Type 8","City Election","SOUTH","DISTRICT","WARD 6 - CITY ONLY","WARD 6 - CITY ONLY","BURLINGTON, VT","EMMA MULVANEY-STANAK","skipped","skipped","skipped","skipped"
