"precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-05","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-08","Steve Fletcher","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-12","Ginger Jentzen","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-12","Ginger Jentzen","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-05","Steve Fletcher","Samantha Pree-Stinson","Ginger Jentzen"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-05","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-06","Samantha Pree-Stinson","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-05","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-11","Samantha Pree-Stinson","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-11","Steve Fletcher","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-11","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-09","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-01","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-03","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Ginger Jentzen","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-07","Samantha Pree-Stinson","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","Ginger Jentzen","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","skipped","skipped"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-02","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Samantha Pree-Stinson","Ginger Jentzen"
"MINNEAPOLIS W-3 P-01","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-04","Steve Fletcher","Ginger Jentzen","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-04","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-10","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-08","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","Samantha Pree-Stinson","writein"
"MINNEAPOLIS W-3 P-05","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Ginger Jentzen","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-05","Steve Fletcher","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-08","Ginger Jentzen","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","Tim Bildsoe","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Ginger Jentzen","skipped"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","Tim Bildsoe","Ginger Jentzen"
"MINNEAPOLIS W-3 P-04","Ginger Jentzen","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-04","Ginger Jentzen","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-11","Tim Bildsoe","Steve Fletcher","writein"
"MINNEAPOLIS W-3 P-05","Ginger Jentzen","Steve Fletcher","Tim Bildsoe"
"MINNEAPOLIS W-3 P-10","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Tim Bildsoe","Ginger Jentzen"
"MINNEAPOLIS W-3 P-06","Samantha Pree-Stinson","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Samantha Pree-Stinson","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Samantha Pree-Stinson","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-06","Tim Bildsoe","Ginger Jentzen","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-11","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Tim Bildsoe","Tim Bildsoe"
"MINNEAPOLIS W-3 P-04","Samantha Pree-Stinson","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","writein","writein"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-01","Ginger Jentzen","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Tim Bildsoe","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-04","Ginger Jentzen","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Samantha Pree-Stinson","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-07","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Samantha Pree-Stinson","skipped","skipped"
"MINNEAPOLIS W-3 P-02","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","writein"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Ginger Jentzen","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-02","skipped","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","skipped","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-02","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","Steve Fletcher","Tim Bildsoe"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-08","Samantha Pree-Stinson","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-09","Samantha Pree-Stinson","Steve Fletcher","Tim Bildsoe"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-07","Samantha Pree-Stinson","Tim Bildsoe","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Samantha Pree-Stinson","Tim Bildsoe"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","writein","Tim Bildsoe"
"MINNEAPOLIS W-3 P-11","Steve Fletcher","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-10","Tim Bildsoe","Steve Fletcher","writein"
"MINNEAPOLIS W-3 P-03","Samantha Pree-Stinson","Steve Fletcher","Tim Bildsoe"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-09","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
