"CVR","Precinct","AD","ED","rank1","rank2","rank3","rank4","rank5"
100170,"AD: 56 ED: 068",56,68,"Bianca Cunningham","Jammel Thompson","Jamell Henderson","Eli Brown","Darlene Mealy"
100174,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100205,"AD: 56 ED: 067",56,67,"Jammel Thompson","Darlene Mealy","skipped","skipped","skipped"
100246,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100260,"AD: 55 ED: 053",55,53,"Darlene Mealy","Jammel Thompson","Eli Brown","Jamell Henderson","Clifton A. Hinton"
100275,"AD: 55 ED: 053",55,53,"Lawman Lynch","Bianca Cunningham","Dante Arnwine","Jamell Henderson","skipped"
100285,"AD: 55 ED: 053",55,53,"Darlene Mealy","Dante Arnwine","Jamell Henderson","Jammel Thompson","Clifton A. Hinton"
100287,"AD: 56 ED: 068",56,68,"Lawman Lynch","skipped","skipped","skipped","skipped"
100294,"AD: 55 ED: 053",55,53,"Jammel Thompson","Jamell Henderson","Bianca Cunningham","Eli Brown","Darlene Mealy"
100317,"AD: 56 ED: 067",56,67,"Darlene Mealy","skipped","skipped","skipped","skipped"
100320,"AD: 55 ED: 053",55,53,"Darlene Mealy","Jammel Thompson","Jamell Henderson","skipped","skipped"
100329,"AD: 43 ED: 051",43,51,"Bianca Cunningham","Dante Arnwine","Lawman Lynch","Eli Brown","Jamell Henderson"
100330,"AD: 55 ED: 053",55,53,"Darlene Mealy","Jamell Henderson","skipped","skipped","skipped"
100383,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100389,"AD: 55 ED: 053",55,53,"Jamell Henderson","skipped","skipped","skipped","skipped"
100393,"AD: 56 ED: 068",56,68,"Eli Brown","Jamell Henderson","Dante Arnwine","Bianca Cunningham","Lawman Lynch"
100398,"AD: 55 ED: 053",55,53,"Darlene Mealy","Bianca Cunningham","Eli Brown","Clifton A. Hinton","Jammel Thompson"
100410,"AD: 43 ED: 051",43,51,"Jamell Henderson","skipped","skipped","skipped","skipped"
100426,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100438,"AD: 55 ED: 053",55,53,"Jamell Henderson","Clifton A. Hinton","Lawman Lynch","Darlene Mealy","skipped"
100447,"AD: 56 ED: 068",56,68,"Bianca Cunningham","Lawman Lynch","Jamell Henderson","Dante Arnwine","Jammel Thompson"
100467,"AD: 43 ED: 051",43,51,"overvote","Lawman Lynch","Eli Brown","Clifton A. Hinton","Darlene Mealy"
100471,"AD: 56 ED: 068",56,68,"Jammel Thompson","Lawman Lynch","Eli Brown","Bianca Cunningham","Lawman Lynch"
100474,"AD: 55 ED: 053",55,53,"Darlene Mealy","Dante Arnwine","Jammel Thompson","Jamell Henderson","Bianca Cunningham"
100476,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100486,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100497,"AD: 43 ED: 051",43,51,"Bianca Cunningham","Jamell Henderson","Dante Arnwine","Eli Brown","skipped"
100504,"AD: 55 ED: 053",55,53,"Jamell Henderson","skipped","skipped","skipped","skipped"
100511,"AD: 55 ED: 053",55,53,"Eli Brown","skipped","skipped","skipped","skipped"
100517,"AD: 56 ED: 068",56,68,"Bianca Cunningham","Lawman Lynch","Eli Brown","skipped","skipped"
100547,"AD: 55 ED: 053",55,53,"Lawman Lynch","Eli Brown","Clifton A. Hinton","Bianca Cunningham","Jamell Henderson"
100556,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
100584,"AD: 43 ED: 051",43,51,"Darlene Mealy","skipped","skipped","skipped","skipped"
100660,"AD: 55 ED: 053",55,53,"Dante Arnwine","Clifton A. Hinton","Jamell Henderson","Darlene Mealy","Bianca Cunningham"
100666,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Eli Brown","Dante Arnwine","Write-in","Lawman Lynch"
100671,"AD: 55 ED: 053",55,53,"Jammel Thompson","skipped","skipped","skipped","skipped"
100683,"AD: 56 ED: 068",56,68,"Eli Brown","skipped","skipped","skipped","skipped"
100696,"AD: 43 ED: 051",43,51,"Bianca Cunningham","Darlene Mealy","Lawman Lynch","skipped","skipped"
100703,"AD: 56 ED: 068",56,68,"Bianca Cunningham","Lawman Lynch","Dante Arnwine","Jamell Henderson","skipped"
