"precincts","tally_type","ballotID","rank1","rank2","rank3"
244100,"Vote by Mail - 400C",12307,"JOE TUMAN","REBECCA KAPLAN","JEAN QUAN"
325300,"Vote by Mail - 400C",12308,"DON PERATA","JEAN QUAN","REBECCA KAPLAN"
364900,"Vote by Mail - 400C",12309,"MARCIE HODGE","TERENCE CANDELL","DON PERATA"
344200,"Vote by Mail - 400C",12313,"JEAN QUAN","REBECCA KAPLAN","JOE TUMAN"
213300,"Vote by Mail - 400C",12346,"DON PERATA","DON PERATA","DON PERATA"
213300,"Vote by Mail - 400C",12347,"REBECCA KAPLAN","DON PERATA","JOE TUMAN"
213300,"Vote by Mail - 400C",12348,"JOE TUMAN","GREG HARLAND","JEAN QUAN"
213300,"Vote by Mail - 400C",12349,"DON PERATA","JOE TUMAN","JEAN QUAN"
213300,"Vote by Mail - 400C",12350,"REBECCA KAPLAN","skipped","skipped"
213300,"Vote by Mail - 400C",12351,"JOE TUMAN","REBECCA KAPLAN","JEAN QUAN"
213300,"Vote by Mail - 400C",12352,"JOE TUMAN","GREG HARLAND","JEAN QUAN"
213300,"Vote by Mail - 400C",12353,"DON PERATA","REBECCA KAPLAN","JEAN QUAN"
213300,"Vote by Mail - 400C",12354,"JOE TUMAN","REBECCA KAPLAN","DON PERATA"
213300,"Vote by Mail - 400C",12355,"DON PERATA","REBECCA KAPLAN","JEAN QUAN"
213300,"Vote by Mail - 400C",12356,"REBECCA KAPLAN","DON PERATA","JOE TUMAN"
213300,"Vote by Mail - 400C",12357,"DON PERATA","JOE TUMAN","GREG HARLAND"
213300,"Vote by Mail - 400C",12358,"JOE TUMAN","JEAN QUAN","REBECCA KAPLAN"
213300,"Vote by Mail - 400C",12359,"DON PERATA","JOE TUMAN","skipped"
213300,"Vote by Mail - 400C",12360,"JEAN QUAN","DON PERATA","JOE TUMAN"
213300,"Vote by Mail - 400C",12361,"ARNOLD FIELDS","JOE TUMAN","skipped"
213300,"Vote by Mail - 400C",12362,"DON PERATA","JEAN QUAN","REBECCA KAPLAN"
213300,"Vote by Mail - 400C",12363,"DON PERATA","skipped","skipped"
213300,"Vote by Mail - 400C",12364,"DON PERATA","skipped","skipped"
213300,"Vote by Mail - 400C",12365,"DON PERATA","JEAN QUAN","JOE TUMAN"
213300,"Vote by Mail - 400C",12366,"REBECCA KAPLAN","JEAN QUAN","LARRY LIONEL ''LL'' YOUNG JR."
