"precincts","tally_type","ballotID","rank1","rank2","rank3"
"1107/1106","VBM / EV - 400c 1st Cut",47282,"JOHN AVALOS","JOHN AVALOS","JOHN AVALOS"
"1142/1141","VBM / EV - 400c 1st Cut",47283,"DENNIS HERRERA","skipped","skipped"
"2107/2105","VBM / EV - 400c 1st Cut",47284,"ED LEE","LELAND YEE","DAVID CHIU"
"2511/2508","VBM / EV - 400c 1st Cut",47285,"TERRY JOAN BAUM","JOANNA REES","BEVAN DUFTY"
"3233","VBM / EV - 400c 1st Cut",47286,"DAVID CHIU","MICHELA ALIOTO-PIER","JEFF ADACHI"
"3305","VBM / EV - 400c 1st Cut",47287,"ED LEE","DAVID CHIU","skipped"
"1116/1115","VBM / EV - 400c 1st Cut",47288,"DENNIS HERRERA","TERRY JOAN BAUM","PHIL TING"
"2131","VBM / EV - 400c 1st Cut",47289,"JEFF ADACHI","skipped","skipped"
"3616","VBM / EV - 400c 1st Cut",47290,"DENNIS HERRERA","BEVAN DUFTY","ED LEE"
"3902","VBM / EV - 400c 1st Cut",47291,"JOHN AVALOS","BEVAN DUFTY","ED LEE"
"3906","VBM / EV - 400c 1st Cut",47292,"CESAR ASCARRUNZ","DENNIS HERRERA","MICHELA ALIOTO-PIER"
"2006","VBM / EV - 400c 1st Cut",47293,"TONY HALL","CESAR ASCARRUNZ","ED LEE"
"3224","VBM / EV - 400c 1st Cut",47294,"ED LEE","skipped","skipped"
"3228/3219","VBM / EV - 400c 1st Cut",47295,"TONY HALL","MICHELA ALIOTO-PIER","DENNIS HERRERA"
"1142/1141","VBM / EV - 400c 1st Cut",47296,"ED LEE","LELAND YEE","DAVID CHIU"
"3657","VBM / EV - 400c 1st Cut",47297,"ED LEE","skipped","skipped"
"3000","VBM / EV - 400c 1st Cut",47298,"DAVID CHIU","JEFF ADACHI","skipped"
"3004/3006","VBM / EV - 400c 1st Cut",47299,"BEVAN DUFTY","JEFF ADACHI","ED LEE"
"2422","VBM / EV - 400c 1st Cut",47300,"ED LEE","skipped","skipped"
"3537/3536","VBM / EV - 400c 1st Cut",47301,"DENNIS HERRERA","JOHN AVALOS","LELAND YEE"
"2119/2118","VBM / EV - 400c 1st Cut",47302,"ED LEE","skipped","skipped"
"2448/2441","VBM / EV - 400c 1st Cut",47303,"ED LEE","LELAND YEE","skipped"
"2759","VBM / EV - 400c 1st Cut",47304,"ED LEE","skipped","skipped"
"3837/3827","VBM / EV - 400c 1st Cut",47305,"DAVID CHIU","BEVAN DUFTY","DENNIS HERRERA"
"3837/3827","VBM / EV - 400c 1st Cut",47306,"BEVAN DUFTY","skipped","skipped"
"1142/1141","VBM / EV - 400c 1st Cut",47307,"LELAND YEE","DAVID CHIU","BEVAN DUFTY"
"2107/2105","VBM / EV - 400c 1st Cut",47308,"MICHELA ALIOTO-PIER","skipped","skipped"
"3922","VBM / EV - 400c 1st Cut",47309,"ED LEE","JEFF ADACHI","DAVID CHIU"
"2135","VBM / EV - 400c 1st Cut",47310,"BEVAN DUFTY","JOANNA REES","DENNIS HERRERA"
"3223","VBM / EV - 400c 1st Cut",47311,"LELAND YEE","LELAND YEE","LELAND YEE"
"3651/3611","VBM / EV - 400c 1st Cut",47312,"JOANNA REES","DAVID CHIU","PHIL TING"
"3806/3812","VBM / EV - 400c 1st Cut",47313,"DENNIS HERRERA","JOHN AVALOS","DAVID CHIU"
"3317/3307","VBM / EV - 400c 1st Cut",47314,"ED LEE","skipped","skipped"
"3650","VBM / EV - 400c 1st Cut",47315,"ED LEE","WILMA PANG","DAVID CHIU"
"3650","VBM / EV - 400c 1st Cut",47316,"DENNIS HERRERA","BEVAN DUFTY","JEFF ADACHI"
"3872","VBM / EV - 400c 1st Cut",47317,"BEVAN DUFTY","DAVID CHIU","JOHN AVALOS"
"1119/1121","VBM / EV - 400c 1st Cut",47318,"ED LEE","skipped","skipped"
"2107/2105","VBM / EV - 400c 1st Cut",47319,"ED LEE","LELAND YEE","MICHELA ALIOTO-PIER"
"1143/1144","VBM / EV - 400c 1st Cut",47320,"LELAND YEE","skipped","skipped"
"2426/2425","VBM / EV - 400c 1st Cut",47321,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"2718/2711","VBM / EV - 400c 1st Cut",47322,"LELAND YEE","DAVID CHIU","skipped"
"3234","VBM / EV - 400c 1st Cut",47323,"ED LEE","DAVID CHIU","skipped"
"3314/3313","VBM / EV - 400c 1st Cut",47324,"ED LEE","BEVAN DUFTY","LELAND YEE"
"3813/3814","VBM / EV - 400c 1st Cut",47325,"BEVAN DUFTY","DENNIS HERRERA","ED LEE"
"3541","VBM / EV - 400c 1st Cut",47326,"DENNIS HERRERA","JOHN AVALOS","skipped"
"3541","VBM / EV - 400c 1st Cut",47327,"ED LEE","LELAND YEE","DAVID CHIU"
"3614/3613","VBM / EV - 400c 1st Cut",47328,"ED LEE","skipped","skipped"
"3624","VBM / EV - 400c 1st Cut",47329,"JEFF ADACHI","LELAND YEE","ED LEE"
"3642","VBM / EV - 400c 1st Cut",47330,"ED LEE","DAVID CHIU","PHIL TING"
"3912/3913","VBM / EV - 400c 1st Cut",47331,"JOHN AVALOS","DENNIS HERRERA","LELAND YEE"
"2101/2102","VBM / EV - 400c 1st Cut",47332,"JEFF ADACHI","LELAND YEE","BEVAN DUFTY"
"1143/1144","VBM / EV - 400c 1st Cut",47333,"ED LEE","MICHELA ALIOTO-PIER","skipped"
"3806/3812","VBM / EV - 400c 1st Cut",47334,"BEVAN DUFTY","JEFF ADACHI","ED LEE"
"3839","VBM / EV - 400c 1st Cut",47335,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"1124/1138","VBM / EV - 400c 1st Cut",47336,"JEFF ADACHI","skipped","skipped"
"2715","VBM / EV - 400c 1st Cut",47337,"ED LEE","DAVID CHIU","LELAND YEE"
"3236/3232","VBM / EV - 400c 1st Cut",47338,"JOANNA REES","DENNIS HERRERA","DENNIS HERRERA"
"3862/3857","VBM / EV - 400c 1st Cut",47339,"LELAND YEE","JEFF ADACHI","BEVAN DUFTY"
"2904/2903","VBM / EV - 400c 1st Cut",47340,"TONY HALL","MICHELA ALIOTO-PIER","LELAND YEE"
"3203/3204","VBM / EV - 400c 1st Cut",47341,"JOANNA REES","MICHELA ALIOTO-PIER","DAVID CHIU"
"3316","VBM / EV - 400c 1st Cut",47342,"ED LEE","DAVID CHIU","JEFF ADACHI"
"3316","VBM / EV - 400c 1st Cut",47343,"LELAND YEE","WILMA PANG","ED LEE"
"3336/3344","VBM / EV - 400c 1st Cut",47344,"ED LEE","skipped","skipped"
"3510","VBM / EV - 400c 1st Cut",47345,"ED LEE","skipped","skipped"
"2108/2109","VBM / EV - 400c 1st Cut",47346,"LELAND YEE","ED LEE","DAVID CHIU"
"2433/2434","VBM / EV - 400c 1st Cut",47347,"PHIL TING","TONY HALL","BEVAN DUFTY"
"3218","VBM / EV - 400c 1st Cut",47348,"DENNIS HERRERA","CESAR ASCARRUNZ","EMIL LAWRENCE"
"3657","VBM / EV - 400c 1st Cut",47349,"ED LEE","LELAND YEE","PHIL TING"
"3918","VBM / EV - 400c 1st Cut",47350,"TERRY JOAN BAUM","TERRY JOAN BAUM","TERRY JOAN BAUM"
"2208","VBM / EV - 400c 1st Cut",47351,"JEFF ADACHI","MICHELA ALIOTO-PIER","EMIL LAWRENCE"
"2747","VBM / EV - 400c 1st Cut",47352,"JEFF ADACHI","CESAR ASCARRUNZ","JOANNA REES"
"3019","VBM / EV - 400c 1st Cut",47353,"LELAND YEE","JEFF ADACHI","LELAND YEE"
"3656","VBM / EV - 400c 1st Cut",47354,"ED LEE","MICHELA ALIOTO-PIER","DAVID CHIU"
"3854/3858","VBM / EV - 400c 1st Cut",47355,"ED LEE","DENNIS HERRERA","BEVAN DUFTY"
"3854/3858","VBM / EV - 400c 1st Cut",47356,"ED LEE","DAVID CHIU","ED LEE"
"3029","VBM / EV - 400c 1st Cut",47357,"ED LEE","DAVID CHIU","TERRY JOAN BAUM"
"3605/3604","VBM / EV - 400c 1st Cut",47358,"ED LEE","DAVID CHIU","LELAND YEE"
"3239","VBM / EV - 400c 1st Cut",47359,"MICHELA ALIOTO-PIER","ED LEE","DAVID CHIU"
"2016/2017","VBM / EV - 400c 1st Cut",47360,"LELAND YEE","DENNIS HERRERA","MICHELA ALIOTO-PIER"
"2139","VBM / EV - 400c 1st Cut",47361,"DENNIS HERRERA","DAVID CHIU","BEVAN DUFTY"
"1139","VBM / EV - 400c 1st Cut",47362,"ED LEE","skipped","skipped"
"3539/3538","VBM / EV - 400c 1st Cut",47363,"BEVAN DUFTY","ED LEE","JOANNA REES"
"3554","VBM / EV - 400c 1st Cut",47364,"ED LEE","DAVID CHIU","DENNIS HERRERA"
"2438/2444","VBM / EV - 400c 1st Cut",47365,"TONY HALL","LELAND YEE","JOANNA REES"
"2702","VBM / EV - 400c 1st Cut",47366,"TONY HALL","JOANNA REES","JEFF ADACHI"
"3007","VBM / EV - 400c 1st Cut",47367,"JOHN AVALOS","DENNIS HERRERA","LELAND YEE"
"1116/1115","VBM / EV - 400c 1st Cut",47368,"skipped","skipped","skipped"
"1116/1115","VBM / EV - 400c 1st Cut",47369,"ED LEE","ED LEE","ED LEE"
"2123","VBM / EV - 400c 1st Cut",47370,"ED LEE","skipped","skipped"
"3839","VBM / EV - 400c 1st Cut",47371,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"2005/2002","VBM / EV - 400c 1st Cut",47372,"ED LEE","DAVID CHIU","LELAND YEE"
"2127","VBM / EV - 400c 1st Cut",47373,"ED LEE","DAVID CHIU","PHIL TING"
"2127","VBM / EV - 400c 1st Cut",47374,"LELAND YEE","JOHN AVALOS","BEVAN DUFTY"
"2413/2404","VBM / EV - 400c 1st Cut",47375,"ED LEE","skipped","skipped"
"2426/2425","VBM / EV - 400c 1st Cut",47376,"ED LEE","skipped","skipped"
"3817","VBM / EV - 400c 1st Cut",47377,"DENNIS HERRERA","BEVAN DUFTY","ED LEE"
"3829","VBM / EV - 400c 1st Cut",47378,"BEVAN DUFTY","PHIL TING","ED LEE"
"1145","VBM / EV - 400c 1st Cut",47379,"ED LEE","DAVID CHIU","JEFF ADACHI"
"2729/2731","VBM / EV - 400c 1st Cut",47380,"LELAND YEE","JOANNA REES","DENNIS HERRERA"
"3028","VBM / EV - 400c 1st Cut",47381,"ED LEE","LELAND YEE","PHIL TING"
"3336/3344","VBM / EV - 400c 1st Cut",47382,"ED LEE","LELAND YEE","DAVID CHIU"
"3348","VBM / EV - 400c 1st Cut",47383,"ED LEE","MICHELA ALIOTO-PIER","LELAND YEE"
"3932/3933","VBM / EV - 400c 1st Cut",47384,"JOHN AVALOS","DENNIS HERRERA","LELAND YEE"
"2208","VBM / EV - 400c 1st Cut",47385,"DENNIS HERRERA","PAUL CURRIER","TONY HALL"
"3205/3221","VBM / EV - 400c 1st Cut",47386,"ED LEE","DENNIS HERRERA","skipped"
"3506","VBM / EV - 400c 1st Cut",47387,"DAVID CHIU","ED LEE","DENNIS HERRERA"
"3805/3811","VBM / EV - 400c 1st Cut",47388,"JEFF ADACHI","DENNIS HERRERA","JOHN AVALOS"
"3217","VBM / EV - 400c 1st Cut",47389,"TONY HALL","MICHELA ALIOTO-PIER","JEFF ADACHI"
"3228/3219","VBM / EV - 400c 1st Cut",47390,"DENNIS HERRERA","JEFF ADACHI","skipped"
"3867","VBM / EV - 400c 1st Cut",47391,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"2139","VBM / EV - 400c 1st Cut",47392,"ED LEE","LELAND YEE","DAVID CHIU"
"2212/2211","VBM / EV - 400c 1st Cut",47393,"ED LEE","skipped","skipped"
"2751","VBM / EV - 400c 1st Cut",47394,"DENNIS HERRERA","PHIL TING","ED LEE"
"2218","VBM / EV - 400c 1st Cut",47395,"JOANNA REES","EMIL LAWRENCE","DENNIS HERRERA"
"3507","VBM / EV - 400c 1st Cut",47396,"ED LEE","DAVID CHIU","PHIL TING"
"1123/1122","VBM / EV - 400c 1st Cut",47397,"JEFF ADACHI","DENNIS HERRERA","MICHELA ALIOTO-PIER"
"3302/3306","VBM / EV - 400c 1st Cut",47398,"ED LEE","DAVID CHIU","LELAND YEE"
"3347","VBM / EV - 400c 1st Cut",47399,"DENNIS HERRERA","skipped","skipped"
"3008/3010","VBM / EV - 400c 1st Cut",47400,"DENNIS HERRERA","JOHN AVALOS","LELAND YEE"
"2006","VBM / EV - 400c 1st Cut",47401,"ED LEE","PHIL TING","JEFF ADACHI"
"1101/1104","VBM / EV - 400c 1st Cut",47402,"LELAND YEE","MICHELA ALIOTO-PIER","ED LEE"
"1143/1144","VBM / EV - 400c 1st Cut",47403,"ED LEE","DAVID CHIU","BEVAN DUFTY"
"2716","VBM / EV - 400c 1st Cut",47404,"ED LEE","skipped","skipped"
"3547/3546","VBM / EV - 400c 1st Cut",47405,"PHIL TING","skipped","skipped"
"3614/3613","VBM / EV - 400c 1st Cut",47406,"ED LEE","MICHELA ALIOTO-PIER","skipped"
"3302/3306","VBM / EV - 400c 1st Cut",47407,"skipped","skipped","skipped"
"3309","VBM / EV - 400c 1st Cut",47408,"JEFF ADACHI","ED LEE","MICHELA ALIOTO-PIER"
"3646","VBM / EV - 400c 1st Cut",47409,"DAVID CHIU","DENNIS HERRERA","JOHN AVALOS"
"3652","VBM / EV - 400c 1st Cut",47410,"WILMA PANG","DENNIS HERRERA","DAVID CHIU"
