RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
1,Rex Burkholder,Philippe Knab,,,,
7,Tiffany Koyama Lane,Rex Burkholder,Angelita Morillo,Jesse Cornett,Theo Hathaway Saner,Cristal Azul Otero
26,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Rex Burkholder,,
28,David O'Connor,Terry Parker,Harrison Kass,John Sweeney,,
29,Angelita Morillo,Tiffany Koyama Lane,Ahlam K Osman,,,
31,Rex Burkholder,Philippe Knab,,,,
37,Steve Novick,Terry Parker,,,,
38,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Kezia Wanner,Daniel DeMelo,
44,Christopher Brummer,David O'Connor,Steve Novick,Terry Parker,Jesse Cornett,Clifford Higgins
45,Dan Gilk,Jonathan (Jon) Walker,Brian Conley,Theo Hathaway Saner,Christopher Brummer,Tiffany Koyama Lane
51,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder,Angelita Morillo,,
52,Clifford Higgins,Ahlam K Osman,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,Daniel DeMelo
79,Jesse Cornett,Angelita Morillo,Rex Burkholder,Daniel DeMelo,Tiffany Koyama Lane,Cristal Azul Otero
80,Steve Novick,Rex Burkholder,Kezia Wanner,Theo Hathaway Saner,,
92,Angelita Morillo,,,,,
94,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Jesse Cornett,Harrison Kass,Rex Burkholder
102,Steve Novick,Kezia Wanner,Tiffany Koyama Lane,,,
112,Rex Burkholder,Jesse Cornett,Steve Novick,Philippe Knab,Tiffany Koyama Lane,Kenneth (Kent) R Landgraver III
114,Steve Novick,,,,,
117,Tiffany Koyama Lane,Steve Novick,Sandeep Bali,Angelita Morillo,Heart Free Pham,
122,Kezia Wanner,Tiffany Koyama Lane,Jesse Cornett,Dan Gilk,Sandeep Bali,Daniel DeMelo
123,Kezia Wanner,Tiffany Koyama Lane,Jesse Cornett,Steve Novick,Rex Burkholder,Daniel DeMelo
142,Rex Burkholder,Steve Novick,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,Melodie Beirwagen
155,Cristal Azul Otero,Melodie Beirwagen,Kezia Wanner,Tiffany Koyama Lane,Jaclyn Smith-Moore,Angelita Morillo
174,Rex Burkholder,Matthew (Matt) Anderson,Brian Conley,Steve Novick,Jaclyn Smith-Moore,
186,Angelita Morillo,Tiffany Koyama Lane,,,,
193,Steve Novick,Jesse Cornett,Daniel DeMelo,Angelita Morillo,Kezia Wanner,Rex Burkholder
194,Sandeep Bali,Heart Free Pham,Angelita Morillo,Jaclyn Smith-Moore,Dan Gilk,Tiffany Koyama Lane
208,Rex Burkholder,Tiffany Koyama Lane,Cristal Azul Otero,Steve Novick,Angelita Morillo,Brian Conley
209,Rex Burkholder,Tiffany Koyama Lane,Cristal Azul Otero,Steve Novick,Angelita Morillo,Brian Conley
233,Angelita Morillo,Chris Flanary,Tiffany Koyama Lane,,,
247,Steve Novick,Tiffany Koyama Lane,Jesse Cornett,Chris Flanary,Brian Conley,Daniel DeMelo
268,Matthew (Matt) Anderson,Ahlam K Osman,Brian Conley,Jesse Cornett,Dan Gilk,
276,Angelita Morillo,Tiffany Koyama Lane,Steve Novick,Rex Burkholder,,
277,Rex Burkholder,Jesse Cornett,Brian Conley,Tiffany Koyama Lane,Cristal Azul Otero,Theo Hathaway Saner
282,Kezia Wanner,Steve Novick,Jesse Cornett,,,
288,Steve Novick,Rex Burkholder,Dan Gilk,Cristal Azul Otero,Jonathan (Jon) Walker,Luke Zak
289,Kezia Wanner,Jonathan (Jon) Walker,Philippe Knab,Rex Burkholder,,
300,Harrison Kass,Kezia Wanner,Rex Burkholder,Jonathan (Jon) Walker,,
301,Rex Burkholder,Melodie Beirwagen,Brian Conley,Matthew (Matt) Anderson,Chris Flanary,Dan Gilk
302,,,,,,
308,Kezia Wanner,Angelita Morillo,Tiffany Koyama Lane,Chris Flanary,Matthew (Matt) Anderson,Philippe Knab
313,Jesse Cornett,Angelita Morillo,Steve Novick,Daniel DeMelo,Kezia Wanner,Matthew (Matt) Anderson
323,Cristal Azul Otero,Angelita Morillo,Jonathan (Jon) Walker,Melodie Beirwagen,Tiffany Koyama Lane,Jaclyn Smith-Moore
329,Tiffany Koyama Lane,Angelita Morillo,Ahlam K Osman,Chris Flanary,Rex Burkholder,Jonathan (Jon) Walker
330,Tiffany Koyama Lane,Angelita Morillo,Ahlam K Osman,Chris Flanary,Rex Burkholder,Jonathan (Jon) Walker
337,Rex Burkholder,Jesse Cornett,,,,
344,Tiffany Koyama Lane,Philippe Knab,Sandeep Bali,Jonathan (Jon) Walker,Ahlam K Osman,Rex Burkholder
348,Tiffany Koyama Lane,Angelita Morillo,Steve Novick,Jesse Cornett,Luke Zak,Chris Flanary
359,Brian Conley,Ahlam K Osman,Jaclyn Smith-Moore,Rex Burkholder,Chris Flanary,Philippe Knab
360,Terry Parker,Harrison Kass,Matthew (Matt) Anderson,Melodie Beirwagen,,
361,Terry Parker,Harrison Kass,Matthew (Matt) Anderson,Melodie Beirwagen,,
376,Jesse Cornett,Sandeep Bali,Steve Novick,Daniel DeMelo,Chris Flanary,Angelita Morillo
388,Kezia Wanner,Rex Burkholder,,,,
389,Tiffany Koyama Lane,,,,,
392,Sandeep Bali,Rex Burkholder,Chris Flanary,Philippe Knab,Matthew (Matt) Anderson,Luke Zak
393,Tiffany Koyama Lane,Cristal Azul Otero,Angelita Morillo,Jaclyn Smith-Moore,Melodie Beirwagen,Heart Free Pham
397,Angelita Morillo,Kezia Wanner,Cristal Azul Otero,Rex Burkholder,Steve Novick,
403,Steve Novick,Tiffany Koyama Lane,Rex Burkholder,,,
413,Harrison Kass,Terry Parker,John Sweeney,Matthew (Matt) Anderson,Jonathan (Jon) Walker,Sandeep Bali
416,Rex Burkholder,Kezia Wanner,Sandeep Bali,,,
421,Tiffany Koyama Lane,Angelita Morillo,Jesse Cornett,Daniel DeMelo,Luke Zak,Steve Novick
426,Jonathan (Jon) Walker,Steve Novick,Jesse Cornett,Sandeep Bali,Rex Burkholder,Kenneth (Kent) R Landgraver III
435,Matthew (Matt) Anderson,Rex Burkholder,Tiffany Koyama Lane,Ahlam K Osman,,
437,Angelita Morillo,Tiffany Koyama Lane,Sandeep Bali,Jesse Cornett,Rex Burkholder,Matthew (Matt) Anderson
447,Daniel DeMelo,Rex Burkholder,Tiffany Koyama Lane,Jonathan (Jon) Walker,Dan Gilk,Steve Novick
454,Tiffany Koyama Lane,Chris Flanary,Jesse Cornett,Steve Novick,Rex Burkholder,Cristal Azul Otero
457,Rex Burkholder,Jesse Cornett,Steve Novick,Philippe Knab,Angelita Morillo,Daniel DeMelo
459,Steve Novick,Kezia Wanner,Tiffany Koyama Lane,,,
463,Tiffany Koyama Lane,Angelita Morillo,Ahlam K Osman,,,
464,Melodie Beirwagen,Rex Burkholder,Patrick Hilton,Clifford Higgins,Philippe Knab,Harrison Kass
473,Tiffany Koyama Lane,Angelita Morillo,Matthew (Matt) Anderson,Rex Burkholder,Chris Flanary,Brian Conley
476,Sandeep Bali,Steve Novick,Jonathan (Jon) Walker,Kezia Wanner,Matthew (Matt) Anderson,Tiffany Koyama Lane
477,Tiffany Koyama Lane,Angelita Morillo,Steve Novick,Matthew (Matt) Anderson,Kezia Wanner,Jonathan (Jon) Walker
493,Matthew (Matt) Anderson,Philippe Knab,Kezia Wanner,Sandeep Bali,Terry Parker,Harrison Kass
498,Steve Novick,Daniel DeMelo,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder,
502,Rex Burkholder,Melodie Beirwagen,Patrick Hilton,Angelita Morillo,Cristal Azul Otero,Jaclyn Smith-Moore
512,Rex Burkholder,Jesse Cornett,Clifford Higgins,Steve Novick,Philippe Knab,
516,Harrison Kass,Jonathan (Jon) Walker,Rex Burkholder,Christopher Brummer,David O'Connor,Steve Novick
518,Kenneth (Kent) R Landgraver III,Heart Free Pham,Sandeep Bali,Luke Zak,Steve Novick,Ahlam K Osman
526,Ahlam K Osman,Angelita Morillo,Tiffany Koyama Lane,Jesse Cornett,Brian Conley,
529,Matthew (Matt) Anderson,Philippe Knab,Harrison Kass,Dan Gilk,Rex Burkholder,Chris Flanary
530,Sandeep Bali,,,,,
531,Angelita Morillo,Jaclyn Smith-Moore,Kelly Janes (KJ),Cristal Azul Otero,Sandeep Bali,Tiffany Koyama Lane
533,Jesse Cornett,Rex Burkholder,Angelita Morillo,Tiffany Koyama Lane,Kezia Wanner,Ahlam K Osman
552,Jaclyn Smith-Moore,Steve Novick,Terry Parker,,,
557,Rex Burkholder,Steve Novick,Jonathan (Jon) Walker,,,
559,Matthew (Matt) Anderson,Philippe Knab,Tiffany Koyama Lane,,,
561,Rex Burkholder,Steve Novick,Ahlam K Osman,Cristal Azul Otero,,
563,Matthew (Matt) Anderson,Melodie Beirwagen,Rex Burkholder,Daniel DeMelo,Jesse Cornett,Dan Gilk
566,Matthew (Matt) Anderson,Melodie Beirwagen,Jesse Cornett,,,
567,Angelita Morillo,Jesse Cornett,Chris Flanary,Tiffany Koyama Lane,Philippe Knab,
570,Tiffany Koyama Lane,Philippe Knab,Rex Burkholder,Angelita Morillo,,
572,Rex Burkholder,Jesse Cornett,Brian Conley,Cristal Azul Otero,Tiffany Koyama Lane,Theo Hathaway Saner
581,Angelita Morillo,Sandeep Bali,Tiffany Koyama Lane,Daniel DeMelo,Jesse Cornett,Chris Flanary
585,Jonathan (Jon) Walker,Steve Novick,Jesse Cornett,Sandeep Bali,Rex Burkholder,Kenneth (Kent) R Landgraver III
600,Angelita Morillo,Chris Flanary,Jesse Cornett,Daniel DeMelo,Rex Burkholder,Tiffany Koyama Lane
601,Chris Flanary,Jesse Cornett,Angelita Morillo,Cristal Azul Otero,Tiffany Koyama Lane,Philippe Knab
606,Angelita Morillo,Rex Burkholder,Jonathan (Jon) Walker,Philippe Knab,Cristal Azul Otero,Steve Novick
